NrSiblings,MathScore,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
1,68,3,1,1,True,False,False,True,False,True,False,False
3,87,2,2,1,False,False,False,True,False,True,True,True
3,61,0,2,1,True,True,False,False,False,True,False,False
1,100,1,2,2,True,False,True,False,False,True,False,True
0,58,1,1,1,False,False,True,False,False,True,True,True
3,87,4,1,1,False,False,False,True,False,True,True,False
0,66,3,1,1,True,False,False,False,True,True,False,True
2,52,2,1,1,False,True,False,False,False,False,True,True
3,72,0,2,1,False,True,False,False,False,True,True,False
4,79,2,1,2,False,False,False,True,False,False,False,True
6,63,0,2,1,True,False,True,False,False,True,True,False
0,54,2,1,1,True,False,False,False,False,True,True,True
1,47,1,0,0,False,False,False,True,False,True,True,True
3,98,3,2,0,False,False,False,False,True,True,False,True
4,84,0,1,1,True,False,True,False,False,True,True,True
1,72,3,0,1,False,True,False,False,False,False,True,False
2,75,3,0,1,False,False,False,True,False,True,True,False
0,54,0,2,2,False,False,False,True,False,True,True,True
3,55,1,1,1,False,False,True,False,False,True,True,False
1,76,3,0,1,False,False,True,False,False,True,False,True
3,88,2,1,0,True,True,False,False,False,True,False,True
1,90,1,2,1,False,False,True,False,False,True,False,True
3,82,1,2,0,True,False,False,False,True,True,True,False
2,86,0,0,2,False,True,False,False,False,True,True,True
3,72,1,1,1,True,True,False,False,False,True,True,False
3,64,1,2,0,True,False,False,True,False,True,True,False
2,77,4,0,0,True,False,False,True,False,True,True,True
0,52,3,2,1,False,False,False,False,False,True,True,True
1,87,4,1,0,True,False,False,True,False,True,True,False
1,52,0,2,0,True,False,True,False,False,False,False,True
2,89,1,2,1,True,False,True,False,False,False,False,True
6,70,1,0,0,False,False,True,False,False,True,False,False
1,76,3,1,2,True,False,False,True,False,False,False,True
1,56,3,1,0,True,False,True,False,False,True,True,True
1,51,0,1,1,True,True,False,False,False,True,False,True
0,67,0,1,0,True,False,False,False,True,True,True,True
1,59,2,1,1,False,False,True,False,False,True,True,True
0,73,1,1,2,True,False,False,True,False,True,False,True
1,76,0,1,1,False,False,False,True,False,True,True,False
2,60,1,2,1,False,False,True,False,False,False,True,False
1,57,0,1,1,True,False,False,False,False,True,True,False
3,90,1,1,2,True,False,False,True,False,True,True,True
1,65,3,1,0,False,False,False,True,False,True,False,True
3,100,2,2,1,True,False,False,False,True,False,False,False
2,62,0,1,1,True,False,False,False,False,True,False,False
2,57,2,1,0,False,True,False,False,False,True,False,True
1,54,3,1,1,True,False,False,True,False,True,True,False
2,58,0,0,0,True,False,False,True,False,True,True,False
3,69,1,2,0,False,False,True,False,False,True,False,True
1,67,0,2,1,False,False,False,False,True,False,False,True
2,58,0,1,0,True,True,False,False,False,False,True,True
2,62,2,2,1,False,True,False,False,False,True,True,True
3,70,2,2,2,True,False,False,True,False,False,True,False
2,82,2,1,1,True,True,False,False,False,False,False,True
3,75,1,1,1,False,False,False,False,True,False,False,True
2,48,4,0,1,True,True,False,False,False,False,True,False
1,52,0,1,1,True,False,True,False,False,True,True,True
3,76,4,0,0,False,False,False,False,True,True,True,True
0,96,3,1,1,False,False,True,False,False,True,False,True
5,53,0,1,1,True,False,True,False,False,False,False,True
1,62,4,2,2,False,True,False,False,False,False,False,False
2,70,0,2,1,False,True,False,False,False,True,False,True
5,76,0,2,2,True,False,False,False,False,True,False,True
3,91,0,1,0,True,False,False,False,True,True,True,False
3,76,1,0,1,False,False,False,True,False,True,True,True
2,63,2,1,1,False,False,True,False,False,True,True,True
1,41,3,1,0,False,False,True,False,False,False,False,False
1,81,4,1,1,False,False,True,False,False,True,False,True
2,44,0,1,0,False,True,False,False,False,False,False,False
2,54,4,2,1,False,True,False,False,False,False,False,True
0,99,0,2,1,False,False,False,True,False,True,False,True
2,60,4,1,0,True,False,True,False,False,False,False,True
1,46,1,1,1,False,False,True,False,False,False,True,True
0,63,2,1,0,False,False,False,True,False,True,True,False
5,61,2,0,0,True,False,True,False,False,False,False,True
1,75,0,0,0,True,False,False,False,True,True,True,True
4,62,0,1,1,True,False,False,True,False,True,False,False
3,47,0,2,0,True,True,False,False,False,False,True,False
1,74,3,1,0,False,False,True,False,False,True,True,True
2,66,2,1,1,False,False,False,False,True,True,True,True
2,73,1,1,0,True,False,False,True,False,True,False,False
1,69,4,2,0,False,False,True,False,False,True,False,True
4,60,2,2,0,True,False,False,True,False,True,True,False
1,57,0,0,1,True,False,True,False,False,False,False,True
7,56,0,1,2,True,False,False,False,True,False,True,False
3,47,1,2,2,False,True,False,False,False,False,True,True
3,80,3,2,1,False,True,False,False,False,False,True,True
1,66,2,2,0,False,False,True,False,False,True,False,False
3,63,1,1,0,False,False,False,True,False,False,True,True
2,69,2,1,1,True,False,True,False,False,True,True,True
2,58,2,2,1,False,False,True,False,False,True,True,True
1,58,1,2,0,True,False,True,False,False,True,True,True
0,71,0,1,0,True,False,False,True,False,True,False,True
4,84,3,2,1,True,False,False,False,True,True,True,True
2,83,0,2,1,True,False,False,False,True,True,False,False
1,73,1,2,0,False,True,False,False,False,False,True,True
3,77,0,1,0,True,False,False,True,False,False,False,True
3,35,1,1,1,True,False,True,False,False,False,True,True
2,42,0,1,1,False,False,True,False,False,False,True,True
1,61,2,2,1,True,False,True,False,False,False,False,False
1,87,0,1,1,True,False,False,False,True,True,True,True
2,86,0,2,1,True,True,False,False,False,True,False,False
3,80,2,1,0,False,False,False,False,True,False,False,True
3,33,0,2,0,False,False,True,False,False,False,True,False
2,64,0,1,0,True,True,False,False,False,False,True,False
1,59,0,0,1,True,True,False,False,False,True,False,False
4,57,0,2,1,False,False,False,True,False,True,False,True
0,89,2,1,2,True,True,False,False,False,True,True,True
3,55,0,1,1,False,False,True,False,False,False,True,False
3,88,0,2,1,True,False,False,True,False,True,True,False
3,43,4,1,0,False,False,False,False,True,False,True,False
5,72,1,1,1,False,False,True,False,False,True,True,True
0,58,0,2,1,True,False,False,True,False,True,True,True
4,68,0,1,1,True,False,False,False,False,False,True,False
3,93,1,2,2,False,False,True,False,False,True,False,True
0,78,1,2,1,True,False,False,True,False,True,True,True
2,67,3,1,1,False,True,False,False,False,True,True,True
3,94,0,1,2,True,False,False,False,True,True,True,True
3,85,3,1,2,True,False,True,False,False,True,False,False
1,84,2,2,2,True,False,False,True,False,True,True,False
2,62,3,2,0,True,False,False,True,False,False,True,False
4,62,0,1,0,False,False,False,True,False,True,True,True
2,57,1,2,2,True,True,False,False,False,True,True,True
1,84,2,1,1,True,False,True,False,False,True,True,True
1,75,0,1,2,True,False,False,True,False,False,False,True
4,82,3,2,1,False,False,False,False,True,True,True,False
2,58,1,2,0,True,False,False,False,True,True,True,False
1,74,0,2,0,True,False,False,True,False,True,True,True
3,82,2,1,0,True,False,True,False,False,True,True,False
2,91,2,2,1,True,False,False,False,True,True,True,False
1,58,0,1,1,False,True,False,False,False,True,False,True
2,63,0,1,0,False,True,False,False,False,True,True,True
2,70,0,1,2,True,False,True,False,False,True,True,False
2,47,0,1,1,True,False,False,False,False,True,False,True
3,60,0,1,1,False,True,False,False,False,True,False,True
0,54,0,1,1,True,False,False,True,False,True,True,True
1,62,1,1,1,False,False,False,False,True,True,True,False
5,62,2,1,0,False,False,True,False,False,False,True,False
1,65,0,1,2,False,False,True,False,False,False,False,True
2,79,1,1,1,True,False,True,False,False,True,False,False
2,45,0,2,1,False,False,True,False,False,False,True,False
1,99,0,1,1,False,False,False,False,True,True,True,True
2,76,0,1,1,True,False,False,True,False,True,True,False
1,57,0,1,0,True,False,False,True,False,False,True,False
2,61,3,1,0,False,False,True,False,False,True,True,False
3,71,0,2,1,False,False,False,True,False,True,True,False
5,93,2,2,2,False,False,False,True,False,True,False,True
2,69,3,1,1,True,False,True,False,False,True,True,True
1,57,1,2,0,True,False,True,False,False,True,True,True
2,48,2,2,1,False,False,False,True,False,False,True,True
2,65,1,1,1,False,False,False,True,False,True,True,False
1,85,1,1,0,True,True,False,False,False,True,False,True
3,83,3,1,1,True,False,True,False,False,True,True,False
3,82,0,1,0,False,False,True,False,False,True,False,True
4,57,1,1,0,False,False,False,False,True,True,False,False
1,65,0,1,1,False,False,True,False,False,False,True,True
2,73,3,1,1,True,True,False,False,False,False,True,False
2,45,0,1,1,True,False,False,True,False,True,True,False
3,75,3,2,1,False,False,False,True,False,False,True,False
2,67,1,0,1,False,False,False,True,False,False,False,True
0,36,0,2,0,False,False,True,False,False,True,True,True
3,78,2,0,1,True,True,False,False,False,True,False,True
0,99,2,2,1,True,False,False,False,True,True,False,True
1,64,0,1,0,False,True,False,False,False,True,True,False
0,85,3,1,0,True,True,False,False,False,False,True,True
1,79,0,1,2,True,False,True,False,False,True,False,True
2,76,2,1,1,True,False,True,False,False,True,True,False
2,83,0,1,0,True,False,False,True,False,True,True,True
1,61,0,0,1,True,False,True,False,False,True,False,True
5,66,3,1,2,False,False,False,False,True,True,True,True
3,80,0,2,1,True,False,False,True,False,False,False,True
1,66,2,0,2,True,True,False,False,False,False,True,True
2,47,0,2,1,True,False,True,False,False,True,False,False
1,73,2,2,1,True,False,True,False,False,True,False,False
2,39,0,2,0,True,False,True,False,False,False,False,False
2,89,2,2,0,True,False,False,True,False,False,True,False
2,76,1,0,0,True,False,False,False,False,False,False,True
4,55,0,2,0,True,False,False,True,False,False,True,False
5,66,2,0,2,False,False,True,False,False,True,False,True
1,82,2,2,1,True,True,False,False,False,True,True,True
2,76,2,2,1,False,False,True,False,False,True,False,True
7,69,1,1,1,True,False,False,False,False,True,True,True
5,100,1,2,1,True,False,False,False,True,True,False,True
2,52,0,2,1,True,False,True,False,False,True,True,False
3,56,2,2,2,False,True,False,False,False,False,True,False
5,48,0,2,0,False,False,False,True,False,False,True,True
2,73,2,1,1,False,True,False,False,False,True,True,False
3,62,3,0,0,True,True,False,False,False,True,True,True
2,70,2,1,2,False,False,True,False,False,False,False,True
3,73,0,2,1,True,False,True,False,False,True,True,False
3,74,4,0,1,False,False,False,True,False,True,False,True
1,83,2,1,1,True,False,True,False,False,True,True,False
2,61,3,1,0,True,True,False,False,False,True,True,True
1,55,2,2,0,False,False,False,True,False,False,True,False
2,64,0,1,0,False,False,True,False,False,False,True,True
3,74,0,0,2,False,False,False,False,True,True,True,False
2,70,1,2,0,False,False,True,False,False,True,True,True
5,40,0,1,1,False,False,True,False,False,False,True,True
1,39,0,1,0,False,False,True,False,False,False,True,False
3,82,1,1,1,False,False,True,False,False,True,True,True
1,61,1,1,1,True,False,True,False,False,True,True,True
5,82,2,1,1,True,False,True,False,False,True,False,True
2,39,0,1,0,False,True,False,False,False,True,True,True
2,70,0,2,0,True,False,True,False,False,True,True,True
3,45,2,1,0,True,False,True,False,False,True,True,False
3,61,2,0,2,True,False,False,False,True,True,False,False
1,90,2,1,1,True,True,False,False,False,True,True,True
2,62,1,2,1,False,True,False,False,False,False,True,True
6,78,0,2,1,True,False,False,True,False,True,False,False
2,50,2,2,1,True,False,True,False,False,True,True,True
3,35,0,1,1,False,False,False,True,False,False,False,True
1,61,0,2,2,True,False,True,False,False,False,True,True
0,62,0,2,1,False,False,True,False,False,True,True,True
1,66,0,1,0,False,True,False,False,False,True,False,True
3,64,2,1,0,True,False,False,True,False,True,False,True
2,78,1,2,0,True,False,False,True,False,True,True,True
4,72,0,1,1,False,False,True,False,False,True,True,True
2,62,0,1,1,True,True,False,False,False,True,True,False
0,76,3,2,0,False,False,True,False,False,True,False,True
2,92,2,2,2,True,False,False,False,True,True,True,True
0,52,3,1,1,False,True,False,False,False,True,True,True
4,67,1,1,2,True,False,False,False,True,True,True,False
1,61,1,1,0,False,False,True,False,False,True,False,False
1,45,2,2,0,False,False,True,False,False,True,True,False
2,55,1,0,0,False,False,True,False,False,True,True,True
3,64,3,2,2,False,True,False,False,False,True,True,False
2,63,3,1,1,True,False,False,False,False,True,True,False
1,40,1,1,0,False,False,True,False,False,False,False,True
1,77,1,1,0,False,False,False,True,False,True,True,False
1,56,0,0,1,False,True,False,False,False,True,True,True
3,87,0,2,1,True,True,False,False,False,True,False,True
2,53,1,2,1,False,False,True,False,False,True,True,False
3,26,0,1,0,False,False,False,True,False,False,True,False
1,60,1,2,1,True,False,True,False,False,True,True,True
2,51,3,2,2,True,False,False,False,False,False,False,False
2,69,0,1,1,True,False,True,False,False,True,False,True
2,44,0,1,1,False,False,False,False,False,False,True,True
5,71,0,2,1,False,False,False,True,False,True,True,True
3,86,1,2,1,True,False,False,False,True,True,True,True
4,45,1,1,1,False,False,True,False,False,False,False,False
0,76,0,1,2,True,False,False,True,False,True,True,True
1,84,1,1,2,False,False,False,True,False,True,False,True
0,60,3,1,2,False,False,False,True,False,True,True,True
2,82,0,1,2,False,False,False,True,False,True,True,False
1,73,0,1,2,False,False,False,False,False,True,True,False
1,67,3,2,1,True,False,False,False,False,True,True,True
1,80,2,1,1,False,True,False,False,False,True,True,True
0,84,2,1,0,True,False,True,False,False,True,False,True
2,79,4,1,1,True,False,True,False,False,False,True,False
3,40,0,2,2,False,False,False,False,True,False,True,True
5,35,0,0,1,False,False,False,False,False,False,True,False
2,69,1,2,1,False,False,False,False,True,True,True,True
0,62,3,1,0,False,False,False,False,True,True,True,True
4,58,0,2,1,False,False,True,False,False,False,True,True
3,62,0,1,1,False,False,False,True,False,True,True,True
1,71,4,1,0,True,False,False,True,False,True,True,False
0,75,0,2,1,True,False,False,False,True,False,False,True
3,74,1,1,0,False,False,False,True,False,True,True,False
3,78,1,1,2,True,False,False,False,True,True,True,True
4,60,2,2,2,True,False,True,False,False,True,False,True
4,65,0,1,1,False,False,True,False,False,True,False,False
5,48,0,0,1,False,True,False,False,False,False,True,False
0,73,0,2,0,True,True,False,False,False,True,True,True
4,56,0,0,0,True,False,False,True,False,True,True,False
3,60,0,2,1,False,False,True,False,False,True,False,True
2,51,1,2,2,False,False,False,False,False,False,True,False
4,88,0,1,1,False,False,False,True,False,True,False,True
0,55,0,2,1,False,False,True,False,False,True,True,True
3,62,0,2,0,False,False,True,False,False,True,True,True
3,68,2,2,2,True,True,False,False,False,True,False,False
3,84,2,2,1,False,True,False,False,False,True,True,True
2,52,0,1,1,False,False,False,True,False,False,False,False
5,86,2,0,2,True,False,False,True,False,True,False,False
2,72,4,2,1,False,False,False,True,False,True,False,True
4,86,1,2,1,True,False,True,False,False,True,False,True
3,52,3,2,1,False,False,True,False,False,False,True,True
3,86,0,2,1,True,False,False,False,True,True,True,False
3,68,3,1,0,True,False,True,False,False,True,False,True
3,71,2,1,0,True,False,True,False,False,True,True,True
4,70,1,2,1,True,False,False,True,False,True,True,False
3,57,0,1,1,True,False,False,False,True,False,False,False
2,56,0,2,0,False,False,False,True,False,True,False,False
0,47,4,0,2,False,False,False,True,False,False,False,True
0,57,0,1,0,False,False,False,False,False,True,False,True
2,41,1,1,1,True,False,True,False,False,False,True,False
3,60,1,1,0,False,False,True,False,False,False,True,True
2,88,3,2,1,True,False,True,False,False,True,True,True
0,71,0,2,1,True,False,True,False,False,False,True,True
3,70,0,1,2,True,False,True,False,False,False,True,False
4,57,0,0,0,True,False,True,False,False,True,True,True
5,45,0,1,0,False,False,False,False,False,False,True,False
1,75,3,1,2,True,False,True,False,False,True,True,False
7,50,1,1,1,True,False,True,False,False,False,False,False
3,77,2,2,1,True,False,False,True,False,True,True,True
1,75,0,1,1,True,False,False,True,False,False,True,True
0,69,0,2,0,True,False,True,False,False,True,True,True
1,69,0,2,1,False,False,True,False,False,True,False,False
2,59,0,1,1,False,False,False,False,False,False,True,True
1,70,2,1,0,False,False,True,False,False,True,True,False
0,79,0,1,1,True,False,False,False,False,False,True,True
1,73,1,2,2,True,False,False,True,False,False,True,True
2,91,0,2,2,True,False,True,False,False,True,False,True
4,48,0,2,1,True,True,False,False,False,True,True,True
3,83,2,2,1,True,True,False,False,False,True,True,True
3,64,1,1,1,False,False,True,False,False,False,False,True
1,68,2,2,2,False,False,True,False,False,False,True,False
3,64,1,0,2,True,False,True,False,False,False,True,True
3,54,2,2,1,False,False,True,False,False,False,True,True
0,37,3,1,1,True,False,True,False,False,False,True,True
3,79,3,1,1,False,False,False,True,False,True,True,False
1,54,2,2,1,True,False,False,True,False,False,True,True
4,72,0,1,1,True,True,False,False,False,True,True,False
1,52,3,2,0,True,False,True,False,False,False,True,False
1,54,1,1,1,True,True,False,False,False,False,True,True
1,68,1,0,1,False,False,False,False,True,True,True,False
4,77,1,1,1,False,False,True,False,False,False,True,True
1,75,3,1,1,True,False,False,False,False,True,False,True
4,84,1,1,1,False,False,True,False,False,True,True,False
1,26,2,1,2,False,False,False,True,False,False,True,False
7,76,0,2,2,True,False,False,False,False,False,False,False
3,79,0,2,1,False,False,False,False,False,False,False,True
2,93,1,2,1,True,False,True,False,False,True,True,True
1,83,2,1,1,False,False,True,False,False,True,False,False
0,62,0,2,0,False,False,True,False,False,True,True,True
4,68,2,1,1,False,False,True,False,False,True,False,True
5,57,0,1,2,False,False,False,True,False,True,True,False
2,90,2,1,1,False,True,False,False,False,True,True,True
3,73,3,1,2,False,False,False,True,False,True,False,True
2,76,3,1,1,True,False,False,False,True,True,False,True
1,80,2,1,1,True,False,False,True,False,True,True,False
1,53,4,0,1,False,False,False,True,False,True,True,True
4,78,2,1,2,True,False,False,False,True,True,True,True
1,73,0,1,1,True,True,False,False,False,True,False,True
3,52,2,1,1,False,False,False,True,False,False,True,True
2,70,1,1,2,True,False,True,False,False,False,True,True
2,59,0,1,1,True,False,False,False,False,True,True,True
3,48,2,2,0,False,True,False,False,False,True,True,False
0,67,0,1,0,True,False,True,False,False,True,True,False
3,61,1,1,1,True,False,False,True,False,False,True,True
1,65,0,2,1,True,True,False,False,False,True,False,True
5,76,2,0,1,True,False,False,False,False,False,False,True
1,64,2,2,0,False,False,False,False,False,False,True,False
1,83,1,1,1,False,False,True,False,False,True,True,False
6,78,3,1,0,False,False,True,False,False,True,True,True
2,53,0,2,0,False,True,False,False,False,True,True,True
4,68,0,1,1,True,False,False,True,False,True,False,True
3,53,1,2,0,False,False,True,False,False,True,True,False
1,59,1,1,1,False,False,False,True,False,False,False,False
3,73,1,1,0,True,False,False,False,True,True,True,True
2,74,4,1,1,False,False,False,True,False,True,True,True
0,91,2,1,0,False,True,False,False,False,True,False,True
3,100,2,2,2,False,False,False,False,True,True,False,True
1,41,4,2,1,False,False,False,True,False,False,True,True
3,79,0,1,0,False,True,False,False,False,True,True,True
1,70,0,2,1,True,False,False,False,False,True,True,True
3,79,2,1,1,True,False,True,False,False,True,True,False
1,88,3,2,1,False,False,True,False,False,True,True,False
3,76,1,1,1,True,False,False,True,False,True,True,False
2,62,2,1,0,True,False,False,False,False,True,True,True
2,61,0,2,0,True,False,False,True,False,False,True,False
3,55,0,2,1,False,True,False,False,False,True,False,True
3,77,4,1,1,False,True,False,False,False,False,False,True
1,76,0,1,1,False,False,True,False,False,True,False,False
1,64,1,0,1,False,False,False,False,True,True,False,True
1,67,0,2,1,False,False,False,True,False,True,False,False
5,67,0,1,1,False,True,False,False,False,False,False,False
3,71,2,1,1,True,False,False,True,False,True,True,False
4,91,2,1,1,False,False,True,False,False,True,True,True
5,71,3,1,2,True,False,True,False,False,True,True,True
2,56,4,2,1,True,False,True,False,False,False,True,True
3,70,1,1,2,True,False,True,False,False,True,True,True
4,54,0,1,0,True,False,True,False,False,False,False,True
2,36,0,1,1,False,False,True,False,False,False,True,True
2,28,3,1,0,False,False,False,True,False,False,True,False
1,60,2,0,1,False,False,True,False,False,True,True,False
1,68,2,1,1,False,False,True,False,False,True,False,True
2,45,0,0,1,False,False,True,False,False,True,True,True
2,60,2,1,0,True,False,False,False,True,True,False,True
4,79,2,1,1,False,False,False,False,True,True,False,False
1,75,0,1,2,True,True,False,False,False,True,False,False
5,66,3,1,1,False,False,True,False,False,False,False,True
2,47,2,0,0,True,False,True,False,False,True,False,False
1,49,0,0,1,False,False,False,True,False,True,True,True
2,82,3,1,0,True,False,True,False,False,True,False,False
3,99,2,1,2,True,False,False,False,False,True,False,False
1,75,0,1,1,True,False,True,False,False,True,False,False
2,76,2,1,0,True,False,True,False,False,False,True,False
3,83,2,2,1,False,False,True,False,False,True,True,True
2,86,2,2,2,False,False,False,True,False,True,True,False
2,64,2,1,1,False,False,False,True,False,True,True,True
1,80,0,2,1,True,False,False,False,True,False,False,True
3,92,0,1,1,False,False,False,False,False,True,False,True
2,71,0,2,0,True,False,True,False,False,True,False,True
5,61,0,2,0,False,False,True,False,False,False,True,False
1,77,4,1,0,True,False,True,False,False,True,True,True
0,76,0,1,0,True,False,True,False,False,False,True,True
2,89,3,2,1,True,True,False,False,False,False,False,False
3,38,1,0,1,False,True,False,False,False,True,True,False
2,79,1,2,1,True,False,False,True,False,False,True,False
1,56,2,2,2,True,False,False,False,True,True,True,True
1,33,1,2,2,False,False,True,False,False,False,True,False
1,63,4,2,1,True,False,True,False,False,False,True,True
2,51,2,1,0,False,True,False,False,False,False,True,False
2,75,0,1,2,True,False,False,True,False,True,True,True
3,66,1,2,2,False,False,True,False,False,True,True,True
2,95,3,2,0,True,False,True,False,False,True,False,False
1,63,1,1,1,False,False,False,True,False,False,False,True
2,46,2,1,0,True,True,False,False,False,True,True,False
4,89,3,0,1,False,False,False,False,True,False,False,False
2,61,4,1,1,False,False,False,True,False,False,False,True
6,62,0,2,0,True,True,False,False,False,False,True,True
1,73,2,2,1,True,True,False,False,False,True,False,True
1,88,3,0,1,True,False,False,False,False,True,True,True
5,54,1,1,2,False,False,True,False,False,True,True,False
1,50,0,1,1,False,False,True,False,False,False,False,True
1,76,0,1,2,False,False,True,False,False,True,True,False
7,40,2,1,1,True,False,False,False,False,False,True,True
0,61,1,1,1,True,False,False,False,False,True,False,True
1,78,0,1,0,False,True,False,False,False,True,True,True
1,49,1,1,2,False,True,False,False,False,False,False,False
3,52,4,2,0,False,False,False,True,False,True,True,False
2,78,0,1,0,False,False,False,True,False,True,True,False
3,74,0,0,1,False,False,False,False,True,True,True,True
1,63,3,1,1,False,False,False,True,False,False,True,True
2,75,2,1,2,False,False,True,False,False,True,False,True
3,55,0,1,1,False,False,False,False,False,True,True,True
1,43,3,2,0,False,False,True,False,False,False,True,True
1,53,1,2,0,False,False,True,False,False,True,True,False
1,48,0,1,1,False,False,False,False,False,True,True,True
3,56,1,1,0,True,False,True,False,False,False,True,False
5,67,0,1,1,True,False,True,False,False,True,True,True
4,65,3,0,1,True,False,False,False,True,True,True,True
3,74,2,1,1,False,False,True,False,False,True,True,True
2,94,3,2,1,False,False,True,False,False,True,False,False
1,57,3,1,2,False,False,True,False,False,True,False,True
1,51,0,0,1,True,False,False,False,False,True,True,True
4,71,0,1,2,False,False,False,True,False,True,True,True
1,65,0,1,1,False,False,False,True,False,True,True,False
1,52,4,1,0,False,False,True,False,False,True,True,True
1,29,0,1,1,False,False,True,False,False,True,True,False
2,76,1,1,1,False,False,False,False,True,True,True,False
1,60,0,1,1,True,False,False,True,False,False,True,True
3,72,0,1,0,True,False,True,False,False,True,True,True
4,82,2,0,1,False,False,True,False,False,True,True,True
1,40,4,1,1,False,False,True,False,False,False,True,True
0,59,1,0,1,False,False,True,False,False,True,True,True
