NrSiblings,MathScore,WritingScore,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
1,51,41,0,1,1,1,1,0,0,0,1,0,1
0,67,54,0,1,0,1,0,0,0,1,1,1,1
1,59,67,2,1,1,0,0,1,0,0,1,1,1
0,73,70,1,1,2,1,0,0,1,0,1,0,1
1,76,71,0,1,1,0,0,0,1,0,1,1,0
2,60,65,1,2,1,0,0,1,0,0,0,1,0
1,57,47,0,1,1,1,0,0,0,0,1,1,0
3,90,79,1,1,2,1,0,0,1,0,1,1,1
1,65,79,3,1,0,0,0,0,1,0,1,0,1
3,100,95,2,2,1,1,0,0,0,1,0,0,0
2,62,69,0,1,1,1,0,0,0,0,1,0,0
2,57,64,2,1,0,0,1,0,0,0,1,0,1
1,54,47,3,1,1,1,0,0,1,0,1,1,0
2,58,58,0,0,0,1,0,0,1,0,1,1,0
3,69,88,1,2,0,0,0,1,0,0,1,0,1
1,67,79,0,2,1,0,0,0,0,1,0,0,1
2,58,58,0,1,0,1,1,0,0,0,0,1,1
2,62,89,2,2,1,0,1,0,0,0,1,1,1
3,70,66,2,2,2,1,0,0,1,0,0,1,0
2,82,74,2,1,1,1,1,0,0,0,0,0,1
3,75,85,1,1,1,0,0,0,0,1,0,0,1
2,48,52,4,0,1,1,1,0,0,0,0,1,0
1,52,49,0,1,1,1,0,1,0,0,1,1,1
3,76,86,4,0,0,0,0,0,0,1,1,1,1
0,96,100,3,1,1,0,0,1,0,0,1,0,1
5,53,51,0,1,1,1,0,1,0,0,0,0,1
1,62,83,4,2,2,0,1,0,0,0,0,0,0
2,70,79,0,2,1,0,1,0,0,0,1,0,1
5,76,77,0,2,2,1,0,0,0,0,1,0,1
3,91,76,0,1,0,1,0,0,0,1,1,1,0
3,76,78,1,0,1,0,0,0,1,0,1,1,1
2,63,70,2,1,1,0,0,1,0,0,1,1,1
1,41,52,3,1,0,0,0,1,0,0,0,0,0
1,81,89,4,1,1,0,0,1,0,0,1,0,1
2,44,56,0,1,0,0,1,0,0,0,0,0,0
2,54,65,4,2,1,0,1,0,0,0,0,0,1
0,99,100,0,2,1,0,0,0,1,0,1,0,1
2,60,75,4,1,0,1,0,1,0,0,0,0,1
1,46,66,1,1,1,0,0,1,0,0,0,1,1
0,63,68,2,1,0,0,0,0,1,0,1,1,0
5,61,62,2,0,0,1,0,1,0,0,0,0,1
1,75,62,0,0,0,1,0,0,0,1,1,1,1
4,62,68,0,1,1,1,0,0,1,0,1,0,0
3,47,45,0,2,0,1,1,0,0,0,0,1,0
1,74,85,3,1,0,0,0,1,0,0,1,1,1
2,66,69,2,1,1,0,0,0,0,1,1,1,1
2,73,77,1,1,0,1,0,0,1,0,1,0,0
1,69,87,4,2,0,0,0,1,0,0,1,0,1
4,60,52,2,2,0,1,0,0,1,0,1,1,0
1,57,63,0,0,1,1,0,1,0,0,0,0,1
7,56,52,0,1,2,1,0,0,0,1,0,1,0
3,47,57,1,2,2,0,1,0,0,0,0,1,1
3,80,77,3,2,1,0,1,0,0,0,0,1,1
1,66,86,2,2,0,0,0,1,0,0,1,0,0
3,63,75,1,1,0,0,0,0,1,0,0,1,1
2,69,69,2,1,1,1,0,1,0,0,1,1,1
2,58,69,2,2,1,0,0,1,0,0,1,1,1
1,58,42,1,2,0,1,0,1,0,0,1,1,1
0,71,76,0,1,0,1,0,0,1,0,1,0,1
4,84,63,3,2,1,1,0,0,0,1,1,1,1
2,83,77,0,2,1,1,0,0,0,1,1,0,0
1,73,76,1,2,0,0,1,0,0,0,0,1,1
3,77,77,0,1,0,1,0,0,1,0,0,0,1
3,35,27,1,1,1,1,0,1,0,0,0,1,1
2,42,60,0,1,1,0,0,1,0,0,0,1,1
1,61,57,2,2,1,1,0,1,0,0,0,0,0
1,87,81,0,1,1,1,0,0,0,1,1,1,1
2,86,76,0,2,1,1,1,0,0,0,1,0,0
3,80,86,2,1,0,0,0,0,0,1,0,0,1
3,33,39,0,2,0,0,0,1,0,0,0,1,0
2,64,68,0,1,0,1,1,0,0,0,0,1,0
1,59,54,0,0,1,1,1,0,0,0,1,0,0
4,57,75,0,2,1,0,0,0,1,0,1,0,1
0,89,74,2,1,2,1,1,0,0,0,1,1,1
3,55,62,0,1,1,0,0,1,0,0,0,1,0
3,88,76,0,2,1,1,0,0,1,0,1,1,0
3,43,52,4,1,0,0,0,0,0,1,0,1,0
5,72,71,1,1,1,0,0,1,0,0,1,1,1
0,58,55,0,2,1,1,0,0,1,0,1,1,1
4,68,64,0,1,1,1,0,0,0,0,0,1,0
3,93,98,1,2,2,0,0,1,0,0,1,0,1
0,78,67,1,2,1,1,0,0,1,0,1,1,1
2,67,83,3,1,1,0,1,0,0,0,1,1,1
3,94,79,0,1,2,1,0,0,0,1,1,1,1
3,85,85,3,1,2,1,0,1,0,0,1,0,0
1,84,80,2,2,2,1,0,0,1,0,1,1,0
2,62,67,3,2,0,1,0,0,1,0,0,1,0
4,62,72,0,1,0,0,0,0,1,0,1,1,1
2,57,53,1,2,2,1,1,0,0,0,1,1,1
1,84,80,2,1,1,1,0,1,0,0,1,1,1
1,75,67,0,1,2,1,0,0,1,0,0,0,1
4,82,85,3,2,1,0,0,0,0,1,1,1,0
2,58,43,1,2,0,1,0,0,0,1,1,1,0
1,74,69,0,2,0,1,0,0,1,0,1,1,1
3,82,69,2,1,0,1,0,1,0,0,1,1,0
2,91,75,2,2,1,1,0,0,0,1,1,1,0
1,58,68,0,1,1,0,1,0,0,0,1,0,1
2,63,60,0,1,0,0,1,0,0,0,1,1,1
2,70,54,0,1,2,1,0,1,0,0,1,1,0
2,47,49,0,1,1,1,0,0,0,0,1,0,1
3,60,70,0,1,1,0,1,0,0,0,1,0,1
0,54,52,0,1,1,1,0,0,1,0,1,1,1
1,62,70,1,1,1,0,0,0,0,1,1,1,0
5,62,66,2,1,0,0,0,1,0,0,0,1,0
1,65,78,0,1,2,0,0,1,0,0,0,0,1
2,79,78,1,1,1,1,0,1,0,0,1,0,0
2,45,52,0,2,1,0,0,1,0,0,0,1,0
1,99,90,0,1,1,0,0,0,0,1,1,1,1
2,76,68,0,1,1,1,0,0,1,0,1,1,0
1,57,40,0,1,0,1,0,0,1,0,0,1,0
2,61,79,3,1,0,0,0,1,0,0,1,1,0
3,71,78,0,2,1,0,0,0,1,0,1,1,0
5,93,99,2,2,2,0,0,0,1,0,1,0,1
2,69,61,3,1,1,1,0,1,0,0,1,1,1
1,57,42,1,2,0,1,0,1,0,0,1,1,1
2,48,59,2,2,1,0,0,0,1,0,0,1,1
2,65,71,1,1,1,0,0,0,1,0,1,1,0
1,85,74,1,1,0,1,1,0,0,0,1,0,1
3,83,73,3,1,1,1,0,1,0,0,1,1,0
3,82,91,0,1,0,0,0,1,0,0,1,0,1
4,57,73,1,1,0,0,0,0,0,1,1,0,0
1,65,80,0,1,1,0,0,1,0,0,0,1,1
2,73,57,3,1,1,1,1,0,0,0,0,1,0
2,45,46,0,1,1,1,0,0,1,0,1,1,0
3,75,86,3,2,1,0,0,0,1,0,0,1,0
2,67,76,1,0,1,0,0,0,1,0,0,0,1
0,36,46,0,2,0,0,0,1,0,0,1,1,1
3,78,79,2,0,1,1,1,0,0,0,1,0,1
0,99,90,2,2,1,1,0,0,0,1,1,0,1
1,64,80,0,1,0,0,1,0,0,0,1,1,0
0,85,74,3,1,0,1,1,0,0,0,0,1,1
1,79,78,0,1,2,1,0,1,0,0,1,0,1
2,76,68,2,1,1,1,0,1,0,0,1,1,0
2,83,68,0,1,0,1,0,0,1,0,1,1,1
1,61,55,0,0,1,1,0,1,0,0,1,0,1
5,66,76,3,1,2,0,0,0,0,1,1,1,1
3,80,82,0,2,1,1,0,0,1,0,0,0,1
1,66,59,2,0,2,1,1,0,0,0,0,1,1
2,47,44,0,2,1,1,0,1,0,0,1,0,0
1,73,69,2,2,1,1,0,1,0,0,1,0,0
2,39,50,0,2,0,1,0,1,0,0,0,0,0
2,89,75,2,2,0,1,0,0,1,0,0,1,0
2,76,77,1,0,0,1,0,0,0,0,0,0,1
4,55,52,0,2,0,1,0,0,1,0,0,1,0
5,66,80,2,0,2,0,0,1,0,0,1,0,1
1,82,65,2,2,1,1,1,0,0,0,1,1,1
2,76,85,2,2,1,0,0,1,0,0,1,0,1
7,69,69,1,1,1,1,0,0,0,0,1,1,1
5,100,83,1,2,1,1,0,0,0,1,1,0,1
2,52,45,0,2,1,1,0,1,0,0,1,1,0
3,56,70,2,2,2,0,1,0,0,0,0,1,0
5,48,52,0,2,0,0,0,0,1,0,0,1,1
2,73,80,2,1,1,0,1,0,0,0,1,1,0
3,62,54,3,0,0,1,1,0,0,0,1,1,1
2,70,70,2,1,2,0,0,1,0,0,0,0,1
3,73,66,0,2,1,1,0,1,0,0,1,1,0
3,74,88,4,0,1,0,0,0,1,0,1,0,1
1,83,78,2,1,1,1,0,1,0,0,1,1,0
2,61,67,3,1,0,1,1,0,0,0,1,1,1
1,55,63,2,2,0,0,0,0,1,0,0,1,0
2,64,82,0,1,0,0,0,1,0,0,0,1,1
3,74,78,0,0,2,0,0,0,0,1,1,1,0
2,70,80,1,2,0,0,0,1,0,0,1,1,1
5,40,51,0,1,1,0,0,1,0,0,0,1,1
1,39,42,0,1,0,0,0,1,0,0,0,1,0
3,82,94,1,1,1,0,0,1,0,0,1,1,1
1,61,62,1,1,1,1,0,1,0,0,1,1,1
5,82,77,2,1,1,1,0,1,0,0,1,0,1
2,39,49,0,1,0,0,1,0,0,0,1,1,1
2,70,61,0,2,0,1,0,1,0,0,1,1,1
3,45,34,2,1,0,1,0,1,0,0,1,1,0
3,61,52,2,0,2,1,0,0,0,1,1,0,0
1,90,81,2,1,1,1,1,0,0,0,1,1,1
2,62,67,1,2,1,0,1,0,0,0,0,1,1
6,78,70,0,2,1,1,0,0,1,0,1,0,0
2,50,44,2,2,1,1,0,1,0,0,1,1,1
3,35,60,0,1,1,0,0,0,1,0,0,0,1
1,61,54,0,2,2,1,0,1,0,0,0,1,1
0,62,64,0,2,1,0,0,1,0,0,1,1,1
1,66,72,0,1,0,0,1,0,0,0,1,0,1
3,64,65,2,1,0,1,0,0,1,0,1,0,1
2,78,67,1,2,0,1,0,0,1,0,1,1,1
4,72,75,0,1,1,0,0,1,0,0,1,1,1
2,62,57,0,1,1,1,1,0,0,0,1,1,0
0,76,95,3,2,0,0,0,1,0,0,1,0,1
2,92,79,2,2,2,1,0,0,0,1,1,1,1
0,52,69,3,1,1,0,1,0,0,0,1,1,1
4,67,53,1,1,2,1,0,0,0,1,1,1,0
1,61,78,1,1,0,0,0,1,0,0,1,0,0
1,45,57,2,2,0,0,0,1,0,0,1,1,0
2,55,66,1,0,0,0,0,1,0,0,1,1,1
3,64,73,3,2,2,0,1,0,0,0,1,1,0
2,63,61,3,1,1,1,0,0,0,0,1,1,0
1,40,67,1,1,0,0,0,1,0,0,0,0,1
1,77,87,1,1,0,0,0,0,1,0,1,1,0
1,56,57,0,0,1,0,1,0,0,0,1,1,1
3,87,79,0,2,1,1,1,0,0,0,1,0,1
2,53,59,1,2,1,0,0,1,0,0,1,1,0
3,26,31,0,1,0,0,0,0,1,0,0,1,0
1,60,59,1,2,1,1,0,1,0,0,1,1,1
2,51,62,3,2,2,1,0,0,0,0,0,0,0
2,69,53,0,1,1,1,0,1,0,0,1,0,1
2,44,58,0,1,1,0,0,0,0,0,0,1,1
5,71,84,0,2,1,0,0,0,1,0,1,1,1
3,86,72,1,2,1,1,0,0,0,1,1,1,1
4,45,70,1,1,1,0,0,1,0,0,0,0,0
0,76,73,0,1,2,1,0,0,1,0,1,1,1
1,84,97,1,1,2,0,0,0,1,0,1,0,1
0,60,74,3,1,2,0,0,0,1,0,1,1,1
2,82,83,0,1,2,0,0,0,1,0,1,1,0
1,73,78,0,1,2,0,0,0,0,0,1,1,0
1,67,63,3,2,1,1,0,0,0,0,1,1,1
1,80,83,2,1,1,0,1,0,0,0,1,1,1
0,84,93,2,1,0,1,0,1,0,0,1,0,1
2,79,73,4,1,1,1,0,1,0,0,0,1,0
3,40,47,0,2,2,0,0,0,0,1,0,1,1
5,35,40,0,0,1,0,0,0,0,0,0,1,0
2,69,76,1,2,1,0,0,0,0,1,1,1,1
0,62,68,3,1,0,0,0,0,0,1,1,1,1
4,58,68,0,2,1,0,0,1,0,0,0,1,1
3,62,64,0,1,1,0,0,0,1,0,1,1,1
1,71,75,4,1,0,1,0,0,1,0,1,1,0
0,75,60,0,2,1,1,0,0,0,1,0,0,1
3,74,75,1,1,0,0,0,0,1,0,1,1,0
3,78,68,1,1,2,1,0,0,0,1,1,1,1
4,60,58,2,2,2,1,0,1,0,0,1,0,1
4,65,77,0,1,1,0,0,1,0,0,1,0,0
5,48,61,0,0,1,0,1,0,0,0,0,1,0
0,73,57,0,2,0,1,1,0,0,0,1,1,1
4,56,51,0,0,0,1,0,0,1,0,1,1,0
3,60,68,0,2,1,0,0,1,0,0,1,0,1
2,51,57,1,2,2,0,0,0,0,0,0,1,0
4,88,100,0,1,1,0,0,0,1,0,1,0,1
0,55,63,0,2,1,0,0,1,0,0,1,1,1
3,62,68,0,2,0,0,0,1,0,0,1,1,1
3,68,65,2,2,2,1,1,0,0,0,1,0,0
3,84,78,2,2,1,0,1,0,0,0,1,1,1
2,52,56,0,1,1,0,0,0,1,0,0,0,0
5,86,84,2,0,2,1,0,0,1,0,1,0,0
2,72,78,4,2,1,0,0,0,1,0,1,0,1
4,86,79,1,2,1,1,0,1,0,0,1,0,1
3,52,80,3,2,1,0,0,1,0,0,0,1,1
3,86,70,0,2,1,1,0,0,0,1,1,1,0
3,68,66,3,1,0,1,0,1,0,0,1,0,1
3,71,65,2,1,0,1,0,1,0,0,1,1,1
4,70,63,1,2,1,1,0,0,1,0,1,1,0
3,57,54,0,1,1,1,0,0,0,1,0,0,0
2,56,64,0,2,0,0,0,0,1,0,1,0,0
0,47,68,4,0,2,0,0,0,1,0,0,0,1
0,57,78,0,1,0,0,0,0,0,0,1,0,1
2,41,34,1,1,1,1,0,1,0,0,0,1,0
3,60,60,1,1,0,0,0,1,0,0,0,1,1
2,88,88,3,2,1,1,0,1,0,0,1,1,1
0,71,66,0,2,1,1,0,1,0,0,0,1,1
3,70,55,0,1,2,1,0,1,0,0,0,1,0
4,57,52,0,0,0,1,0,1,0,0,1,1,1
5,45,49,0,1,0,0,0,0,0,0,0,1,0
1,75,67,3,1,2,1,0,1,0,0,1,1,0
7,50,53,1,1,1,1,0,1,0,0,0,0,0
3,77,65,2,2,1,1,0,0,1,0,1,1,1
1,75,73,0,1,1,1,0,0,1,0,0,1,1
0,69,51,0,2,0,1,0,1,0,0,1,1,1
1,69,80,0,2,1,0,0,1,0,0,1,0,0
2,59,69,0,1,1,0,0,0,0,0,0,1,1
1,70,74,2,1,0,0,0,1,0,0,1,1,0
0,79,73,0,1,1,1,0,0,0,0,0,1,1
1,73,62,1,2,2,1,0,0,1,0,0,1,1
2,91,83,0,2,2,1,0,1,0,0,1,0,1
4,48,43,0,2,1,1,1,0,0,0,1,1,1
3,83,73,2,2,1,1,1,0,0,0,1,1,1
3,64,85,1,1,1,0,0,1,0,0,0,0,1
1,68,77,2,2,2,0,0,1,0,0,0,1,0
3,64,48,1,0,2,1,0,1,0,0,0,1,1
3,54,63,2,2,1,0,0,1,0,0,0,1,1
0,37,47,3,1,1,1,0,1,0,0,0,1,1
3,79,89,3,1,1,0,0,0,1,0,1,1,0
1,54,49,2,2,1,1,0,0,1,0,0,1,1
4,72,68,0,1,1,1,1,0,0,0,1,1,0
1,52,55,3,2,0,1,0,1,0,0,0,1,0
1,54,45,1,1,1,1,1,0,0,0,0,1,1
1,68,74,1,0,1,0,0,0,0,1,1,1,0
4,77,91,1,1,1,0,0,1,0,0,0,1,1
1,75,62,3,1,1,1,0,0,0,0,1,0,1
4,84,91,1,1,1,0,0,1,0,0,1,1,0
1,26,38,2,1,2,0,0,0,1,0,0,1,0
7,76,67,0,2,2,1,0,0,0,0,0,0,0
3,79,87,0,2,1,0,0,0,0,0,0,0,1
2,93,77,1,2,1,1,0,1,0,0,1,1,1
1,83,90,2,1,1,0,0,1,0,0,1,0,0
0,62,74,0,2,0,0,0,1,0,0,1,1,1
4,68,84,2,1,1,0,0,1,0,0,1,0,1
5,57,60,0,1,2,0,0,0,1,0,1,1,0
2,90,91,2,1,1,0,1,0,0,0,1,1,1
3,73,84,3,1,2,0,0,0,1,0,1,0,1
2,76,66,3,1,1,1,0,0,0,1,1,0,1
1,80,72,2,1,1,1,0,0,1,0,1,1,0
1,53,70,4,0,1,0,0,0,1,0,1,1,1
4,78,68,2,1,2,1,0,0,0,1,1,1,1
1,73,68,0,1,1,1,1,0,0,0,1,0,1
3,52,56,2,1,1,0,0,0,1,0,0,1,1
2,70,62,1,1,2,1,0,1,0,0,0,1,1
2,59,46,0,1,1,1,0,0,0,0,1,1,1
3,48,54,2,2,0,0,1,0,0,0,1,1,0
0,67,69,0,1,0,1,0,1,0,0,1,1,0
3,61,56,1,1,1,1,0,0,1,0,0,1,1
1,65,58,0,2,1,1,1,0,0,0,1,0,1
5,76,79,2,0,1,1,0,0,0,0,0,0,1
1,64,76,2,2,0,0,0,0,0,0,0,1,0
1,83,90,1,1,1,0,0,1,0,0,1,1,0
6,78,88,3,1,0,0,0,1,0,0,1,1,1
2,53,68,0,2,0,0,1,0,0,0,1,1,1
4,68,66,0,1,1,1,0,0,1,0,1,0,1
3,53,52,1,2,0,0,0,1,0,0,1,1,0
1,59,76,1,1,1,0,0,0,1,0,0,0,0
3,73,70,1,1,0,1,0,0,0,1,1,1,1
2,74,84,4,1,1,0,0,0,1,0,1,1,1
0,91,90,2,1,0,0,1,0,0,0,1,0,1
3,100,96,2,2,2,0,0,0,0,1,1,0,1
1,41,57,4,2,1,0,0,0,1,0,0,1,1
3,79,78,0,1,0,0,1,0,0,0,1,1,1
1,70,67,0,2,1,1,0,0,0,0,1,1,1
3,79,77,2,1,1,1,0,1,0,0,1,1,0
1,88,89,3,2,1,0,0,1,0,0,1,1,0
3,76,73,1,1,1,1,0,0,1,0,1,1,0
2,62,42,2,1,0,1,0,0,0,0,1,1,1
2,61,52,0,2,0,1,0,0,1,0,0,1,0
3,55,63,0,2,1,0,1,0,0,0,1,0,1
3,77,94,4,1,1,0,1,0,0,0,0,0,1
1,76,85,0,1,1,0,0,1,0,0,1,0,0
1,64,71,1,0,1,0,0,0,0,1,1,0,1
1,67,79,0,2,1,0,0,0,1,0,1,0,0
5,67,79,0,1,1,0,1,0,0,0,0,0,0
3,71,52,2,1,1,1,0,0,1,0,1,1,0
4,91,84,2,1,1,0,0,1,0,0,1,1,1
5,71,58,3,1,2,1,0,1,0,0,1,1,1
2,56,52,4,2,1,1,0,1,0,0,0,1,1
3,70,60,1,1,2,1,0,1,0,0,1,1,1
4,54,58,0,1,0,1,0,1,0,0,0,0,1
2,36,43,0,1,1,0,0,1,0,0,0,1,1
2,28,46,3,1,0,0,0,0,1,0,0,1,0
1,60,68,2,0,1,0,0,1,0,0,1,1,0
1,68,73,2,1,1,0,0,1,0,0,1,0,1
2,45,51,0,0,1,0,0,1,0,0,1,1,1
2,60,56,2,1,0,1,0,0,0,1,1,0,1
4,79,94,2,1,1,0,0,0,0,1,1,0,0
1,75,69,0,1,2,1,1,0,0,0,1,0,0
5,66,83,3,1,1,0,0,1,0,0,0,0,1
2,47,55,2,0,0,1,0,1,0,0,1,0,0
1,49,60,0,0,1,0,0,0,1,0,1,1,1
2,82,69,3,1,0,1,0,1,0,0,1,0,0
3,99,87,2,1,2,1,0,0,0,0,1,0,0
1,75,68,0,1,1,1,0,1,0,0,1,0,0
2,76,78,2,1,0,1,0,1,0,0,0,1,0
3,83,80,2,2,1,0,0,1,0,0,1,1,1
2,86,93,2,2,2,0,0,0,1,0,1,1,0
2,64,66,2,1,1,0,0,0,1,0,1,1,1
1,80,82,0,2,1,1,0,0,0,1,0,0,1
3,92,97,0,1,1,0,0,0,0,0,1,0,1
2,71,64,0,2,0,1,0,1,0,0,1,0,1
5,61,64,0,2,0,0,0,1,0,0,0,1,0
1,77,69,4,1,0,1,0,1,0,0,1,1,1
0,76,63,0,1,0,1,0,1,0,0,0,1,1
2,89,90,3,2,1,1,1,0,0,0,0,0,0
3,38,48,1,0,1,0,1,0,0,0,1,1,0
2,79,65,1,2,1,1,0,0,1,0,0,1,0
1,56,41,2,2,2,1,0,0,0,1,1,1,1
1,33,34,1,2,2,0,0,1,0,0,0,1,0
1,63,69,4,2,1,1,0,1,0,0,0,1,1
2,51,68,2,1,0,0,1,0,0,0,0,1,0
2,75,63,0,1,2,1,0,0,1,0,1,1,1
3,66,77,1,2,2,0,0,1,0,0,1,1,1
2,95,92,3,2,0,1,0,1,0,0,1,0,0
1,63,80,1,1,1,0,0,0,1,0,0,0,1
2,46,44,2,1,0,1,1,0,0,0,1,1,0
