NrSiblings,MathScore,AvgWritingReading,ParentEduc,PracticeSport,WklyStudyHours,Gender_male,EthnicGroup_group B,EthnicGroup_group C,EthnicGroup_group D,EthnicGroup_group E,LunchType_standard,TestPrep_none,IsFirstChild_yes
0,59,67.5,1,0,0,0,0,1,0,0,1,0,1
2,61,66.5,1,2,2,0,0,0,1,0,0,1,1
3,64,64.0,3,2,0,0,0,0,1,0,1,1,1
7,79,67.0,1,1,1,1,1,0,0,0,1,1,0
1,68,74.0,3,1,1,1,0,0,1,0,1,0,0
3,87,91.5,2,2,1,0,0,0,1,0,1,1,1
3,61,46.0,0,2,1,1,1,0,0,0,1,0,0
1,100,91.0,1,2,2,1,0,1,0,0,1,0,1
0,58,69.5,1,1,1,0,0,1,0,0,1,1,1
3,87,100.0,4,1,1,0,0,0,1,0,1,1,0
0,66,63.5,3,1,1,1,0,0,0,1,1,0,1
2,52,73.0,2,1,1,0,1,0,0,0,0,1,1
3,72,68.5,0,2,1,0,1,0,0,0,1,1,0
4,79,94.5,2,1,2,0,0,0,1,0,0,0,1
6,63,52.5,0,2,1,1,0,1,0,0,1,1,0
0,54,50.0,2,1,1,1,0,0,0,0,1,1,1
1,47,53.5,1,0,0,0,0,0,1,0,1,1,1
3,98,99.5,3,2,0,0,0,0,0,1,1,0,1
4,84,75.5,0,1,1,1,0,1,0,0,1,1,1
1,72,81.0,3,0,1,0,1,0,0,0,0,1,0
2,75,78.5,3,0,1,0,0,0,1,0,1,1,0
0,54,63.5,0,2,2,0,0,0,1,0,1,1,1
3,55,67.0,1,1,1,0,0,1,0,0,1,1,0
1,76,88.0,3,0,1,0,0,1,0,0,1,0,1
3,88,88.5,2,1,0,1,1,0,0,0,1,0,1
1,90,94.5,1,2,1,0,0,1,0,0,1,0,1
3,82,76.0,1,2,0,1,0,0,0,1,1,1,0
2,86,89.5,0,0,2,0,1,0,0,0,1,1,1
3,72,67.5,1,1,1,1,1,0,0,0,1,1,0
3,64,75.0,1,2,0,1,0,0,1,0,1,1,0
2,77,76.5,4,0,0,1,0,0,1,0,1,1,1
0,52,50.5,3,2,1,0,0,0,0,0,1,1,1
1,87,83.0,4,1,0,1,0,0,1,0,1,1,0
1,52,38.0,0,2,0,1,0,1,0,0,0,0,1
2,89,73.0,1,2,1,1,0,1,0,0,0,0,1
6,70,79.0,1,0,0,0,0,1,0,0,1,0,0
1,76,78.0,3,1,2,1,0,0,1,0,0,0,1
1,56,50.5,3,1,0,1,0,1,0,0,1,1,1
1,51,47.5,0,1,1,1,1,0,0,0,1,0,1
0,67,54.0,0,1,0,1,0,0,0,1,1,1,1
1,59,66.5,2,1,1,0,0,1,0,0,1,1,1
0,73,65.5,1,1,2,1,0,0,1,0,1,0,1
1,76,71.5,0,1,1,0,0,0,1,0,1,1,0
2,60,63.5,1,2,1,0,0,1,0,0,0,1,0
1,57,45.0,0,1,1,1,0,0,0,0,1,1,0
3,90,76.5,1,1,2,1,0,0,1,0,1,1,1
1,65,76.0,3,1,0,0,0,0,1,0,1,0,1
3,100,97.5,2,2,1,1,0,0,0,1,0,0,0
2,62,68.0,0,1,1,1,0,0,0,0,1,0,0
2,57,66.0,2,1,0,0,1,0,0,0,1,0,1
1,54,48.0,3,1,1,1,0,0,1,0,1,1,0
2,58,61.5,0,0,0,1,0,0,1,0,1,1,0
3,69,88.0,1,2,0,0,0,1,0,0,1,0,1
1,67,77.0,0,2,1,0,0,0,0,1,0,0,1
2,58,58.5,0,1,0,1,1,0,0,0,0,1,1
2,62,88.0,2,2,1,0,1,0,0,0,1,1,1
3,70,64.5,2,2,2,1,0,0,1,0,0,1,0
2,82,76.0,2,1,1,1,1,0,0,0,0,0,1
3,75,86.5,1,1,1,0,0,0,0,1,0,0,1
2,48,52.5,4,0,1,1,1,0,0,0,0,1,0
1,52,51.0,0,1,1,1,0,1,0,0,1,1,1
3,76,87.5,4,0,0,0,0,0,0,1,1,1,1
0,96,100.0,3,1,1,0,0,1,0,0,1,0,1
5,53,51.0,0,1,1,1,0,1,0,0,0,0,1
1,62,81.0,4,2,2,0,1,0,0,0,0,0,0
2,70,81.5,0,2,1,0,1,0,0,0,1,0,1
5,76,76.0,0,2,2,1,0,0,0,0,1,0,1
3,91,81.0,0,1,0,1,0,0,0,1,1,1,0
3,76,81.0,1,0,1,0,0,0,1,0,1,1,1
2,63,68.5,2,1,1,0,0,1,0,0,1,1,1
1,41,51.0,3,1,0,0,0,1,0,0,0,0,0
1,81,90.5,4,1,1,0,0,1,0,0,1,0,1
2,44,54.5,0,1,0,0,1,0,0,0,0,0,0
2,54,68.5,4,2,1,0,1,0,0,0,0,0,1
0,99,100.0,0,2,1,0,0,0,1,0,1,0,1
2,60,71.5,4,1,0,1,0,1,0,0,0,0,1
1,46,65.0,1,1,1,0,0,1,0,0,0,1,1
0,63,67.5,2,1,0,0,0,0,1,0,1,1,0
5,61,63.5,2,0,0,1,0,1,0,0,0,0,1
1,75,67.5,0,0,0,1,0,0,0,1,1,1,1
4,62,67.0,0,1,1,1,0,0,1,0,1,0,0
3,47,48.0,0,2,0,1,1,0,0,0,0,1,0
1,74,85.5,3,1,0,0,0,1,0,0,1,1,1
2,66,67.0,2,1,1,0,0,0,0,1,1,1,1
2,73,79.0,1,1,0,1,0,0,1,0,1,0,0
1,69,86.0,4,2,0,0,0,1,0,0,1,0,1
4,60,53.0,2,2,0,1,0,0,1,0,1,1,0
1,57,65.0,0,0,1,1,0,1,0,0,0,0,1
7,56,54.0,0,1,2,1,0,0,0,1,0,1,0
3,47,55.5,1,2,2,0,1,0,0,0,0,1,1
3,80,78.5,3,2,1,0,1,0,0,0,0,1,1
1,66,84.5,2,2,0,0,0,1,0,0,1,0,0
3,63,77.0,1,1,0,0,0,0,1,0,0,1,1
2,69,73.0,2,1,1,1,0,1,0,0,1,1,1
2,58,69.5,2,2,1,0,0,1,0,0,1,1,1
1,58,41.0,1,2,0,1,0,1,0,0,1,1,1
0,71,72.5,0,1,0,1,0,0,1,0,1,0,1
4,84,62.5,3,2,1,1,0,0,0,1,1,1,1
2,83,79.0,0,2,1,1,0,0,0,1,1,0,0
1,73,78.0,1,2,0,0,1,0,0,0,0,1,1
3,77,77.0,0,1,0,1,0,0,1,0,0,0,1
3,35,27.5,1,1,1,1,0,1,0,0,0,1,1
2,42,61.0,0,1,1,0,0,1,0,0,0,1,1
1,61,54.0,2,2,1,1,0,1,0,0,0,0,0
1,87,86.0,0,1,1,1,0,0,0,1,1,1,1
2,86,80.0,0,2,1,1,1,0,0,0,1,0,0
3,80,85.0,2,1,0,0,0,0,0,1,0,0,1
3,33,40.0,0,2,0,0,0,1,0,0,0,1,0
2,64,71.5,0,1,0,1,1,0,0,0,0,1,0
1,59,54.5,0,0,1,1,1,0,0,0,1,0,0
4,57,72.0,0,2,1,0,0,0,1,0,1,0,1
0,89,80.0,2,1,2,1,1,0,0,0,1,1,1
3,55,63.5,0,1,1,0,0,1,0,0,0,1,0
3,88,78.5,0,2,1,1,0,0,1,0,1,1,0
3,43,53.5,4,1,0,0,0,0,0,1,0,1,0
5,72,71.5,1,1,1,0,0,1,0,0,1,1,1
0,58,52.5,0,2,1,1,0,0,1,0,1,1,1
4,68,68.0,0,1,1,1,0,0,0,0,0,1,0
3,93,97.5,1,2,2,0,0,1,0,0,1,0,1
0,78,65.5,1,2,1,1,0,0,1,0,1,1,1
2,67,84.5,3,1,1,0,1,0,0,0,1,1,1
3,94,83.5,0,1,2,1,0,0,0,1,1,1,1
3,85,84.0,3,1,2,1,0,1,0,0,1,0,0
1,84,78.5,2,2,2,1,0,0,1,0,1,1,0
2,62,66.0,3,2,0,1,0,0,1,0,0,1,0
4,62,65.5,0,1,0,0,0,0,1,0,1,1,1
2,57,53.0,1,2,2,1,1,0,0,0,1,1,1
1,84,80.0,2,1,1,1,0,1,0,0,1,1,1
1,75,68.0,0,1,2,1,0,0,1,0,0,0,1
4,82,84.5,3,2,1,0,0,0,0,1,1,1,0
2,58,46.5,1,2,0,1,0,0,0,1,1,1,0
1,74,71.0,0,2,0,1,0,0,1,0,1,1,1
3,82,71.5,2,1,0,1,0,1,0,0,1,1,0
2,91,76.0,2,2,1,1,0,0,0,1,1,1,0
1,58,69.0,0,1,1,0,1,0,0,0,1,0,1
2,63,61.5,0,1,0,0,1,0,0,0,1,1,1
2,70,57.0,0,1,2,1,0,1,0,0,1,1,0
2,47,49.0,0,1,1,1,0,0,0,0,1,0,1
3,60,70.0,0,1,1,0,1,0,0,0,1,0,1
0,54,52.0,0,1,1,1,0,0,1,0,1,1,1
1,62,71.5,1,1,1,0,0,0,0,1,1,1,0
5,62,68.5,2,1,0,0,0,1,0,0,0,1,0
1,65,79.0,0,1,2,0,0,1,0,0,0,0,1
2,79,78.5,1,1,1,1,0,1,0,0,1,0,0
2,45,51.0,0,2,1,0,0,1,0,0,0,1,0
1,99,91.5,0,1,1,0,0,0,0,1,1,1,1
2,76,70.5,0,1,1,1,0,0,1,0,1,1,0
1,57,40.5,0,1,0,1,0,0,1,0,0,1,0
2,61,76.0,3,1,0,0,0,1,0,0,1,1,0
3,71,75.5,0,2,1,0,0,0,1,0,1,1,0
5,93,96.5,2,2,2,0,0,0,1,0,1,0,1
2,69,62.0,3,1,1,1,0,1,0,0,1,1,1
1,57,45.0,1,2,0,1,0,1,0,0,1,1,1
2,48,56.0,2,2,1,0,0,0,1,0,0,1,1
2,65,70.5,1,1,1,0,0,0,1,0,1,1,0
1,85,78.5,1,1,0,1,1,0,0,0,1,0,1
3,83,75.5,3,1,1,1,0,1,0,0,1,1,0
3,82,90.5,0,1,0,0,0,1,0,0,1,0,1
4,57,67.5,1,1,0,0,0,0,0,1,1,0,0
1,65,83.0,0,1,1,0,0,1,0,0,0,1,1
2,73,56.5,3,1,1,1,1,0,0,0,0,1,0
2,45,47.0,0,1,1,1,0,0,1,0,1,1,0
3,75,83.0,3,2,1,0,0,0,1,0,0,1,0
2,67,76.0,1,0,1,0,0,0,1,0,0,0,1
0,36,45.5,0,2,0,0,0,1,0,0,1,1,1
3,78,79.5,2,0,1,1,1,0,0,0,1,0,1
0,99,86.5,2,2,1,1,0,0,0,1,1,0,1
1,64,83.5,0,1,0,0,1,0,0,0,1,1,0
0,85,73.5,3,1,0,1,1,0,0,0,0,1,1
1,79,77.5,0,1,2,1,0,1,0,0,1,0,1
2,76,69.0,2,1,1,1,0,1,0,0,1,1,0
2,83,69.5,0,1,0,1,0,0,1,0,1,1,1
1,61,57.0,0,0,1,1,0,1,0,0,1,0,1
5,66,75.0,3,1,2,0,0,0,0,1,1,1,1
3,80,80.0,0,2,1,1,0,0,1,0,0,0,1
1,66,60.0,2,0,2,1,1,0,0,0,0,1,1
2,47,42.5,0,2,1,1,0,1,0,0,1,0,0
1,73,72.0,2,2,1,1,0,1,0,0,1,0,0
2,39,47.5,0,2,0,1,0,1,0,0,0,0,0
2,89,80.5,2,2,0,1,0,0,1,0,0,1,0
2,76,76.0,1,0,0,1,0,0,0,0,0,0,1
4,55,52.5,0,2,0,1,0,0,1,0,0,1,0
5,66,81.5,2,0,2,0,0,1,0,0,1,0,1
1,82,71.0,2,2,1,1,1,0,0,0,1,1,1
2,76,80.5,2,2,1,0,0,1,0,0,1,0,1
7,69,68.0,1,1,1,1,0,0,0,0,1,1,1
5,100,85.5,1,2,1,1,0,0,0,1,1,0,1
2,52,48.5,0,2,1,1,0,1,0,0,1,1,0
3,56,71.5,2,2,2,0,1,0,0,0,0,1,0
5,48,54.0,0,2,0,0,0,0,1,0,0,1,1
2,73,78.0,2,1,1,0,1,0,0,0,1,1,0
3,62,56.0,3,0,0,1,1,0,0,0,1,1,1
2,70,69.0,2,1,2,0,0,1,0,0,0,0,1
3,73,66.0,0,2,1,1,0,1,0,0,1,1,0
3,74,84.0,4,0,1,0,0,0,1,0,1,0,1
1,83,75.0,2,1,1,1,0,1,0,0,1,1,0
2,61,68.0,3,1,0,1,1,0,0,0,1,1,1
1,55,63.5,2,2,0,0,0,0,1,0,0,1,0
2,64,79.5,0,1,0,0,0,1,0,0,0,1,1
3,74,81.5,0,0,2,0,0,0,0,1,1,1,0
2,70,80.0,1,2,0,0,0,1,0,0,1,1,1
5,40,51.5,0,1,1,0,0,1,0,0,0,1,1
1,39,43.5,0,1,0,0,0,1,0,0,0,1,0
3,82,92.0,1,1,1,0,0,1,0,0,1,1,1
1,61,61.5,1,1,1,1,0,1,0,0,1,1,1
5,82,76.0,2,1,1,1,0,1,0,0,1,0,1
2,39,51.5,0,1,0,0,1,0,0,0,1,1,1
2,70,60.0,0,2,0,1,0,1,0,0,1,1,1
3,45,35.0,2,1,0,1,0,1,0,0,1,1,0
3,61,53.5,2,0,2,1,0,0,0,1,1,0,0
1,90,79.5,2,1,1,1,1,0,0,0,1,1,1
2,62,68.0,1,2,1,0,1,0,0,0,0,1,1
6,78,70.5,0,2,1,1,0,0,1,0,1,0,0
2,50,47.5,2,2,1,1,0,1,0,0,1,1,1
3,35,57.5,0,1,1,0,0,0,1,0,0,0,1
1,61,58.0,0,2,2,1,0,1,0,0,0,1,1
0,62,69.0,0,2,1,0,0,1,0,0,1,1,1
1,66,73.0,0,1,0,0,1,0,0,0,1,0,1
3,64,67.5,2,1,0,1,0,0,1,0,1,0,1
2,78,69.5,1,2,0,1,0,0,1,0,1,1,1
4,72,77.5,0,1,1,0,0,1,0,0,1,1,1
2,62,59.0,0,1,1,1,1,0,0,0,1,1,0
0,76,94.0,3,2,0,0,0,1,0,0,1,0,1
2,92,77.5,2,2,2,1,0,0,0,1,1,1,1
0,52,67.0,3,1,1,0,1,0,0,0,1,1,1
4,67,55.0,1,1,2,1,0,0,0,1,1,1,0
1,61,77.0,1,1,0,0,0,1,0,0,1,0,0
1,45,57.0,2,2,0,0,0,1,0,0,1,1,0
2,55,67.0,1,0,0,0,0,1,0,0,1,1,1
3,64,73.5,3,2,2,0,1,0,0,0,1,1,0
2,63,61.0,3,1,1,1,0,0,0,0,1,1,0
1,40,66.0,1,1,0,0,0,1,0,0,0,0,1
1,77,87.5,1,1,0,0,0,0,1,0,1,1,0
1,56,59.0,0,0,1,0,1,0,0,0,1,1,1
3,87,82.0,0,2,1,1,1,0,0,0,1,0,1
2,53,58.5,1,2,1,0,0,1,0,0,1,1,0
3,26,32.0,0,1,0,0,0,0,1,0,0,1,0
1,60,59.5,1,2,1,1,0,1,0,0,1,1,1
2,51,60.5,3,2,2,1,0,0,0,0,0,0,0
2,69,55.5,0,1,1,1,0,1,0,0,1,0,1
2,44,61.0,0,1,1,0,0,0,0,0,0,1,1
5,71,83.5,0,2,1,0,0,0,1,0,1,1,1
3,86,75.0,1,2,1,1,0,0,0,1,1,1,1
4,45,71.5,1,1,1,0,0,1,0,0,0,0,0
0,76,74.0,0,1,2,1,0,0,1,0,1,1,1
1,84,97.5,1,1,2,0,0,0,1,0,1,0,1
0,60,72.5,3,1,2,0,0,0,1,0,1,1,1
2,82,87.0,0,1,2,0,0,0,1,0,1,1,0
1,73,81.0,0,1,2,0,0,0,0,0,1,1,0
1,67,63.5,3,2,1,1,0,0,0,0,1,1,1
1,80,84.5,2,1,1,0,1,0,0,0,1,1,1
0,84,95.5,2,1,0,1,0,1,0,0,1,0,1
2,79,77.5,4,1,1,1,0,1,0,0,0,1,0
3,40,48.5,0,2,2,0,0,0,0,1,0,1,1
5,35,40.5,0,0,1,0,0,0,0,0,0,1,0
2,69,76.5,1,2,1,0,0,0,0,1,1,1,1
0,62,69.5,3,1,0,0,0,0,0,1,1,1,1
4,58,73.5,0,2,1,0,0,1,0,0,0,1,1
3,62,64.0,0,1,1,0,0,0,1,0,1,1,1
1,71,72.5,4,1,0,1,0,0,1,0,1,1,0
0,75,64.0,0,2,1,1,0,0,0,1,0,0,1
3,74,70.5,1,1,0,0,0,0,1,0,1,1,0
3,78,68.0,1,1,2,1,0,0,0,1,1,1,1
4,60,56.5,2,2,2,1,0,1,0,0,1,0,1
4,65,75.5,0,1,1,0,0,1,0,0,1,0,0
5,48,63.0,0,0,1,0,1,0,0,0,0,1,0
0,73,59.5,0,2,0,1,1,0,0,0,1,1,1
4,56,54.0,0,0,0,1,0,0,1,0,1,1,0
3,60,61.0,0,2,1,0,0,1,0,0,1,0,1
2,51,61.5,1,2,2,0,0,0,0,0,0,1,0
4,88,99.5,0,1,1,0,0,0,1,0,1,0,1
0,55,61.0,0,2,1,0,0,1,0,0,1,1,1
3,62,70.0,0,2,0,0,0,1,0,0,1,1,1
3,68,65.5,2,2,2,1,1,0,0,0,1,0,0
3,84,79.5,2,2,1,0,1,0,0,0,1,1,1
2,52,56.5,0,1,1,0,0,0,1,0,0,0,0
5,86,83.5,2,0,2,1,0,0,1,0,1,0,0
2,72,75.5,4,2,1,0,0,0,1,0,1,0,1
4,86,81.5,1,2,1,1,0,1,0,0,1,0,1
3,52,76.5,3,2,1,0,0,1,0,0,0,1,1
3,86,72.0,0,2,1,1,0,0,0,1,1,1,0
3,68,69.0,3,1,0,1,0,1,0,0,1,0,1
3,71,68.0,2,1,0,1,0,1,0,0,1,1,1
4,70,61.0,1,2,1,1,0,0,1,0,1,1,0
3,57,55.0,0,1,1,1,0,0,0,1,0,0,0
2,56,60.5,0,2,0,0,0,0,1,0,1,0,0
0,47,63.5,4,0,2,0,0,0,1,0,0,0,1
0,57,80.5,0,1,0,0,0,0,0,0,1,0,1
2,41,36.5,1,1,1,1,0,1,0,0,0,1,0
3,60,62.5,1,1,0,0,0,1,0,0,0,1,1
2,88,86.0,3,2,1,1,0,1,0,0,1,1,1
0,71,69.0,0,2,1,1,0,1,0,0,0,1,1
3,70,59.0,0,1,2,1,0,1,0,0,0,1,0
4,57,53.0,0,0,0,1,0,1,0,0,1,1,1
5,45,53.5,0,1,0,0,0,0,0,0,0,1,0
1,75,66.5,3,1,2,1,0,1,0,0,1,1,0
7,50,50.5,1,1,1,1,0,1,0,0,0,0,0
3,77,67.0,2,2,1,1,0,0,1,0,1,1,1
1,75,69.5,0,1,1,1,0,0,1,0,0,1,1
0,69,53.0,0,2,0,1,0,1,0,0,1,1,1
1,69,81.0,0,2,1,0,0,1,0,0,1,0,0
2,59,71.0,0,1,1,0,0,0,0,0,0,1,1
1,70,77.5,2,1,0,0,0,1,0,0,1,1,0
0,79,77.5,0,1,1,1,0,0,0,0,0,1,1
1,73,64.5,1,2,2,1,0,0,1,0,0,1,1
2,91,83.0,0,2,2,1,0,1,0,0,1,0,1
4,48,44.5,0,2,1,1,1,0,0,0,1,1,1
3,83,73.5,2,2,1,1,1,0,0,0,1,1,1
3,64,85.0,1,1,1,0,0,1,0,0,0,0,1
1,68,78.0,2,2,2,0,0,1,0,0,0,1,0
3,64,52.5,1,0,2,1,0,1,0,0,0,1,1
3,54,62.0,2,2,1,0,0,1,0,0,0,1,1
0,37,51.5,3,1,1,1,0,1,0,0,0,1,1
3,79,89.0,3,1,1,0,0,0,1,0,1,1,0
1,54,51.5,2,2,1,1,0,0,1,0,0,1,1
4,72,66.5,0,1,1,1,1,0,0,0,1,1,0
1,52,56.0,3,2,0,1,0,1,0,0,0,1,0
1,54,49.5,1,1,1,1,1,0,0,0,0,1,1
1,68,71.0,1,0,1,0,0,0,0,1,1,1,0
4,77,90.5,1,1,1,0,0,1,0,0,0,1,1
1,75,60.0,3,1,1,1,0,0,0,0,1,0,1
4,84,89.0,1,1,1,0,0,1,0,0,1,1,0
1,26,34.5,2,1,2,0,0,0,1,0,0,1,0
7,76,68.0,0,2,2,1,0,0,0,0,0,0,0
3,79,88.0,0,2,1,0,0,0,0,0,0,0,1
2,93,76.0,1,2,1,1,0,1,0,0,1,1,1
1,83,87.5,2,1,1,0,0,1,0,0,1,0,0
0,62,71.0,0,2,0,0,0,1,0,0,1,1,1
4,68,85.0,2,1,1,0,0,1,0,0,1,0,1
5,57,63.0,0,1,2,0,0,0,1,0,1,1,0
2,90,90.5,2,1,1,0,1,0,0,0,1,1,1
3,73,80.5,3,1,2,0,0,0,1,0,1,0,1
2,76,64.0,3,1,1,1,0,0,0,1,1,0,1
1,80,70.0,2,1,1,1,0,0,1,0,1,1,0
1,53,67.0,4,0,1,0,0,0,1,0,1,1,1
4,78,70.0,2,1,2,1,0,0,0,1,1,1,1
1,73,69.5,0,1,1,1,1,0,0,0,1,0,1
3,52,57.5,2,1,1,0,0,0,1,0,0,1,1
2,70,65.5,1,1,2,1,0,1,0,0,0,1,1
2,59,49.0,0,1,1,1,0,0,0,0,1,1,1
3,48,52.5,2,2,0,0,1,0,0,0,1,1,0
0,67,70.5,0,1,0,1,0,1,0,0,1,1,0
3,61,51.5,1,1,1,1,0,0,1,0,0,1,1
1,65,55.5,0,2,1,1,1,0,0,0,1,0,1
5,76,79.5,2,0,1,1,0,0,0,0,0,0,1
1,64,80.0,2,2,0,0,0,0,0,0,0,1,0
1,83,86.5,1,1,1,0,0,1,0,0,1,1,0
6,78,87.0,3,1,0,0,0,1,0,0,1,1,1
2,53,65.5,0,2,0,0,1,0,0,0,1,1,1
4,68,65.0,0,1,1,1,0,0,1,0,1,0,1
3,53,49.5,1,2,0,0,0,1,0,0,1,1,0
1,59,77.0,1,1,1,0,0,0,1,0,0,0,0
3,73,69.5,1,1,0,1,0,0,0,1,1,1,1
2,74,82.0,4,1,1,0,0,0,1,0,1,1,1
0,91,87.5,2,1,0,0,1,0,0,0,1,0,1
3,100,93.5,2,2,2,0,0,0,0,1,1,0,1
1,41,59.0,4,2,1,0,0,0,1,0,0,1,1
3,79,79.0,0,1,0,0,1,0,0,0,1,1,1
1,70,69.0,0,2,1,1,0,0,0,0,1,1,1
3,79,77.5,2,1,1,1,0,1,0,0,1,1,0
1,88,91.0,3,2,1,0,0,1,0,0,1,1,0
3,76,72.0,1,1,1,1,0,0,1,0,1,1,0
2,62,45.5,2,1,0,1,0,0,0,0,1,1,1
2,61,50.0,0,2,0,1,0,0,1,0,0,1,0
3,55,62.0,0,2,1,0,1,0,0,0,1,0,1
3,77,95.5,4,1,1,0,1,0,0,0,0,0,1
1,76,86.0,0,1,1,0,0,1,0,0,1,0,0
1,64,71.5,1,0,1,0,0,0,0,1,1,0,1
1,67,79.0,0,2,1,0,0,0,1,0,1,0,0
5,67,78.5,0,1,1,0,1,0,0,0,0,0,0
3,71,50.5,2,1,1,1,0,0,1,0,1,1,0
4,91,85.0,2,1,1,0,0,1,0,0,1,1,1
5,71,58.0,3,1,2,1,0,1,0,0,1,1,1
2,56,56.5,4,2,1,1,0,1,0,0,0,1,1
3,70,60.0,1,1,2,1,0,1,0,0,1,1,1
4,54,59.0,0,1,0,1,0,1,0,0,0,0,1
2,36,48.0,0,1,1,0,0,1,0,0,0,1,1
2,28,43.0,3,1,0,0,0,0,1,0,0,1,0
1,60,70.0,2,0,1,0,0,1,0,0,1,1,0
